"","diff","lwr","upr","p adj"
"Colorectal Cancer-Breast Cancer",2.93886767257023,2.6838610801127,3.19387426502776,0
"Non-Small Cell Lung Cancer-Breast Cancer",-0.219008093407726,-0.456374813239524,0.0183586264240729,0.0868747382775857
"Pancreatic Cancer-Breast Cancer",-0.302551093118197,-0.603423266388166,-0.00167891984822821,0.047946574150156
"Prostate Cancer-Breast Cancer",0.059582169318798,-0.238733102576947,0.357897441214543,0.982588949974172
"Non-Small Cell Lung Cancer-Colorectal Cancer",-3.15787576597796,-3.39148084772091,-2.924270684235,0
"Pancreatic Cancer-Colorectal Cancer",-3.24141876568843,-3.53933224168543,-2.94350528969142,0
"Prostate Cancer-Colorectal Cancer",-2.87928550325143,-3.17461646332615,-2.58395454317671,0
"Pancreatic Cancer-Non-Small Cell Lung Cancer",-0.0835429997104715,-0.366504192575373,0.19941819315443,0.929050345090048
"Prostate Cancer-Non-Small Cell Lung Cancer",0.278590262726524,-0.00165065767156186,0.558831183124609,0.0522472551410271
"Prostate Cancer-Pancreatic Cancer",0.362133262436995,0.0264011096275678,0.697865415246422,0.026997794965111
